epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,566.678,1.11448,3.0069,1.59691,0.4514,0.3067,0.31474,0.1709,1.32595,3.32096,2.02408,0.000328829,0.000328829,0.000328829
2,1243.34,1.16119,2.33833,1.61578,0.32509,0.47051,0.36159,0.17393,1.50118,3.4801,2.23041,0.000649051,0.000649051,0.000649051
3,1762.57,1.18446,2.192,1.62129,0.37581,0.56927,0.40568,0.183,1.70913,3.00072,2.46273,0.000956074,0.000956074,0.000956074
4,2420.04,1.19215,2.02587,1.61114,0.43648,0.45903,0.42708,0.20874,1.61408,2.59183,2.2354,0.0009406,0.0009406,0.0009406
5,4033.63,1.16389,1.88156,1.59215,0.60629,0.54271,0.60021,0.31928,1.43726,2.25245,2.12493,0.0009208,0.0009208,0.0009208
6,5391.07,1.15053,1.78254,1.59051,0.54555,0.56932,0.55189,0.29375,1.51996,2.37273,2.31181,0.000901,0.000901,0.000901
7,41073.3,1.15962,1.74832,1.59849,0.54038,0.42015,0.47266,0.22714,1.72071,2.37272,2.50984,0.0008812,0.0008812,0.0008812
8,42600,1.14764,1.60109,1.56206,0.70182,0.61818,0.71636,0.42676,1.39092,1.7482,1.97602,0.0008614,0.0008614,0.0008614
9,43419.9,1.11854,1.52917,1.5418,0.62885,0.63031,0.63681,0.33831,1.58435,1.84777,2.35812,0.0008416,0.0008416,0.0008416
10,51348.4,1.08221,1.46599,1.52957,0.7671,0.72218,0.80125,0.4781,1.372,1.43058,1.98646,0.0008218,0.0008218,0.0008218
11,52413,1.08344,1.41165,1.51346,0.77129,0.69027,0.77764,0.48357,1.31819,1.53832,1.93804,0.000802,0.000802,0.000802
12,53223,1.06331,1.39486,1.50693,0.69312,0.655,0.69772,0.3888,1.44439,1.67111,1.99681,0.0007822,0.0007822,0.0007822
13,56142.9,1.07117,1.38269,1.51417,0.78755,0.69613,0.79867,0.49426,1.30974,1.39187,1.84261,0.0007624,0.0007624,0.0007624
14,58472.8,1.05698,1.32775,1.4854,0.72887,0.73573,0.78628,0.46542,1.36397,1.44974,1.90413,0.0007426,0.0007426,0.0007426
15,64031,1.08567,1.31679,1.51634,0.79358,0.64464,0.73889,0.44815,1.36289,1.57851,1.93744,0.0007228,0.0007228,0.0007228
16,68429.5,1.04567,1.26145,1.48425,0.76732,0.71678,0.81476,0.48704,1.3427,1.29109,1.88398,0.000703,0.000703,0.000703
17,69440.4,1.07886,1.2278,1.49338,0.83489,0.77682,0.87127,0.539,1.25101,1.12534,1.78648,0.0006832,0.0006832,0.0006832
18,70077.7,1.04781,1.21159,1.4754,0.87453,0.82416,0.89137,0.5652,1.27336,1.05523,1.81859,0.0006634,0.0006634,0.0006634
19,71935.5,1.0438,1.1656,1.48136,0.86504,0.7795,0.8893,0.53884,1.35796,1.07304,1.89223,0.0006436,0.0006436,0.0006436
20,73969.7,1.03151,1.12404,1.45946,0.83445,0.77219,0.84171,0.53823,1.28916,1.13151,1.82901,0.0006238,0.0006238,0.0006238
21,74717.7,1.01355,1.15855,1.45955,0.83674,0.83048,0.88243,0.55512,1.26465,1.03652,1.79852,0.000604,0.000604,0.000604
22,75774,0.98124,1.07716,1.43288,0.83476,0.76939,0.854,0.53872,1.26001,1.13687,1.78057,0.0005842,0.0005842,0.0005842
23,76314.4,0.99923,1.11216,1.43832,0.90584,0.78427,0.89968,0.57987,1.23873,0.94925,1.78046,0.0005644,0.0005644,0.0005644
24,76883.8,0.98188,1.08446,1.44458,0.90571,0.83114,0.91011,0.59299,1.21386,0.93116,1.74398,0.0005446,0.0005446,0.0005446
25,77456,0.96531,1.03499,1.41757,0.92364,0.83147,0.91931,0.61701,1.16628,0.88602,1.71034,0.0005248,0.0005248,0.0005248
26,77983.5,0.97489,1.05482,1.42071,0.89103,0.8078,0.89327,0.59277,1.19299,0.94278,1.7462,0.000505,0.000505,0.000505
27,79158.8,0.97042,0.99881,1.41446,0.93348,0.8206,0.91579,0.6153,1.16031,0.87488,1.69928,0.0004852,0.0004852,0.0004852
28,80147.6,0.95967,1.01831,1.406,0.8777,0.82279,0.88767,0.58244,1.22825,0.88668,1.79518,0.0004654,0.0004654,0.0004654
29,80809.9,0.9396,0.98632,1.4017,0.92338,0.82823,0.90616,0.61641,1.14664,0.85839,1.7135,0.0004456,0.0004456,0.0004456
30,81321,0.94391,0.964,1.39645,0.93719,0.83083,0.90508,0.6264,1.17059,0.8361,1.71672,0.0004258,0.0004258,0.0004258
31,81823.3,0.92396,0.92158,1.38472,0.8838,0.88247,0.92776,0.63028,1.13635,0.82908,1.66293,0.000406,0.000406,0.000406
32,82345.5,0.93062,0.92027,1.38881,0.91744,0.83652,0.90716,0.61707,1.16004,0.83999,1.70075,0.0003862,0.0003862,0.0003862
